Camera URL,Quadrant,Camera Location,Point
Camera 2 (http://trafficcam.calgary.ca/loc1.jpg),SE,Peigan Trail / Barlow Trail SE,POINT (-114.0026887 51.0149725)
Camera 95 (http://trafficcam.calgary.ca/loc94.jpg),NW,16 Avenue / Home Rd NW,POINT (-114.1643274 51.0726124)
Camera 114 (http://trafficcam.calgary.ca/loc113.jpg),NE,Airport Trail / 36 Street NE,POINT (-113.9816889 51.1397793)
Camera 64 (http://trafficcam.calgary.ca/loc63.jpg),NE,McKnight Blvd / Metis Trail NE,POINT (-113.9807844 51.0957002)
Camera 56 (http://trafficcam.calgary.ca/loc55.jpg),SW,4 Avenue / 10 Street SW,POINT (-114.0868196 51.0491768)
Camera 135 (http://trafficcam.calgary.ca/loc134.jpg),NW,Crowchild Trail / Stoney Trail NW,POINT (-114.2310015 51.1328769)
Camera 128 (http://trafficcam.calgary.ca/loc127.jpg),NW/NE,16 Avenue / Centre Street N,POINT (-114.0626323 51.0667995)
Camera 136 (http://trafficcam.calgary.ca/loc135.jpg),NW,Stoney Trail / Country Hills Blvd NW,POINT (-114.2032242 51.1445959)
Camera 105 (http://trafficcam.calgary.ca/loc104.jpg),SW,Anderson Road / 24 Street SW,POINT (-114.1175273 50.9507798)
Camera 43 (http://trafficcam.calgary.ca/loc42.jpg),NW,Beddington Trail / Country Hills Blvd NW,POINT (-114.0922392 51.1438922)
Camera 78 (http://trafficcam.calgary.ca/loc77.jpg),SE,17 Avenue / 52 Street SE,POINT (-113.9582468 51.0378098)
Camera 5 (http://trafficcam.calgary.ca/loc4.jpg),NW,Kensington Road / Crowchild Trail NW,POINT (-114.1180882 51.0524874)
Camera 83 (http://trafficcam.calgary.ca/loc82.jpg),SE,58 Avenue / Blackfoot Trail SE,POINT (-114.0490102 51.001302)
Camera 71 (http://trafficcam.calgary.ca/loc70.jpg),NE,16 Avenue / 19 Street NE,POINT (-114.0140245 51.0670373)
Camera 123 (http://trafficcam.calgary.ca/loc122.jpg),SW,5 Avenue / 5 Street SW,POINT (-114.0736443 51.0486767)
Camera 92 (http://trafficcam.calgary.ca/loc91.jpg),SE,9 Avenue / 3 Street SE,POINT (-114.0556637 51.0443901)
Camera 19 (http://trafficcam.calgary.ca/loc18.jpg),SE,17 Avenue / Deerfoot Trail SE,POINT (-114.0050859 51.0368026)
Camera 52 (http://trafficcam.calgary.ca/loc51.jpg),NE,McKnight Blvd / Deerfoot Trail NE,POINT (-114.0404543 51.0960482)
Camera 87 (http://trafficcam.calgary.ca/loc86.jpg),SE,Stoney Trail / Deerfoot Trail SE,POINT (-113.9766063 50.9007257)
Camera 10 (http://trafficcam.calgary.ca/loc9.jpg),SW/SE,Bannister Road / Macleod Trail S,POINT (-114.0716512 50.9251547)
Camera 29 (http://trafficcam.calgary.ca/loc28.jpg),SW,Glenmore Trail / 1A Street SW,POINT (-114.0673324 50.9943602)
Camera 31 (http://trafficcam.calgary.ca/loc30.jpg),NE,Memorial Drive / Edmonton Trail NE,POINT (-114.0501357 51.0508018)
Camera 11 (http://trafficcam.calgary.ca/loc10.jpg),SE,130 Avenue / Deerfoot Trail SE,POINT (-113.9750552 50.9319613)
Camera 94 (http://trafficcam.calgary.ca/loc93.jpg),NE,16 Avenue / Barlow Trail NE,POINT (-114.0020863 51.0667728)
Camera 47 (http://trafficcam.calgary.ca/loc46.jpg),SE,25 Avenue / Spiller Road SE,POINT (-114.0501597 51.0297595)
Camera 89 (http://trafficcam.calgary.ca/loc88.jpg),SW/SE,Lake Fraser Gate / Macleod Trail SE,POINT (-114.0694135 50.939421)
Camera 27 (http://trafficcam.calgary.ca/loc26.jpg),SW,5 Avenue btw 1 Street & 2 Street SW,POINT (-114.06642 51.0484854)
Camera 129 (http://trafficcam.calgary.ca/loc128.jpg),SE,Glenmore Trail / Stoney Trail SE,POINT (-113.9292632 50.9796349)
Camera 73 (http://trafficcam.calgary.ca/loc72.jpg),NW,Stoney Trail / Sarcee Trail NW,POINT (-114.164821 51.1530825)
Camera 91 (http://trafficcam.calgary.ca/loc90.jpg),SW/SE,210 Avenue / Macleod Trail SE,POINT (-114.0379767 50.8661576)
Camera 112 (http://trafficcam.calgary.ca/loc111.jpg),SW,Glenmore Trail / 14 Street SW (West),POINT (-114.0949781 50.9938095)
Camera 132 (http://trafficcam.calgary.ca/loc131.jpg),SW,Richmond Road / Sarcee Trail SW,POINT (-114.1661897 51.0178524)
Camera 68 (http://trafficcam.calgary.ca/loc67.jpg),NE,64 Avenue / Deerfoot Trail NE,POINT (-114.0480321 51.1105064)
Camera 137 (http://trafficcam.calgary.ca/loc136.jpg),NW/NE,Stoney Trail / Harvest Hills Blvd N,POINT (-114.0689009 51.1734005)
Camera 76 (http://trafficcam.calgary.ca/loc75.jpg),SW,5 Avenue / 7 Street SW,POINT (-114.0786008 51.04882)
Camera 67 (http://trafficcam.calgary.ca/loc66.jpg),NE,Country Hills Blvd / Deerfoot Trail NE,POINT (-114.0173379 51.1543285)
Camera 93 (http://trafficcam.calgary.ca/loc92.jpg),NE,McKnight Boulevard / Barlow Trail NE,POINT (-114.0018281 51.0927921)
Camera 39 (http://trafficcam.calgary.ca/loc38.jpg),NE,16 Avenue / 36 Street NE,POINT (-113.9814146 51.066945)
Camera 21 (http://trafficcam.calgary.ca/loc20.jpg),SE,34 Avenue / Deerfoot Trail SE,POINT (-113.9998411 51.0232852)
Camera 33 (http://trafficcam.calgary.ca/loc32.jpg),SE,6 Avenue / 1 Street SE,POINT (-114.0606748 51.0472376)
Camera 82 (http://trafficcam.calgary.ca/loc81.jpg),SW/SE,25 Avenue / Macleod Trail SE,POINT (-114.0598396 51.0304732)
Camera 46 (http://trafficcam.calgary.ca/loc45.jpg),NE,32 Avenue / 52 Street NE,POINT (-113.9582969 51.0815778)
Camera 9 (http://trafficcam.calgary.ca/loc8.jpg),SW/SE,Heritage Drive / Macleod Trail S,POINT (-114.0717745 50.9793867)
Camera 12 (http://trafficcam.calgary.ca/loc11.jpg),SW/SE,149 Avenue / Macleod Trail S,POINT (-114.0703057 50.9188866)
Camera 81 (http://trafficcam.calgary.ca/loc80.jpg),SE,12 Avenue / Olympic Way SE,POINT (-114.0534925 51.0411473)
Camera 86 (http://trafficcam.calgary.ca/loc85.jpg),NW,16 Avenue / Stoney Trail NW,POINT (-114.2317849 51.0886513)
Camera 115 (http://trafficcam.calgary.ca/loc114.jpg),NE,Airport Trail / Barlow Trail NE,POINT (-114.0014507 51.1393524)
Camera 36 (http://trafficcam.calgary.ca/loc35.jpg),NW,Memorial Drive / 10 Street NW,POINT (-114.0858242 51.0519424)
Camera 66 (http://trafficcam.calgary.ca/loc65.jpg),NE,16 Avenue / Edmonton Trail NE,POINT (-114.0562102 51.0668211)
Camera 41 (http://trafficcam.calgary.ca/loc40.jpg),SE,Highfield Road / Blackfoot Trail SE,POINT (-114.047906 51.0210672)
Camera 58 (http://trafficcam.calgary.ca/loc57.jpg),NW,Memorial Drive / 14 Street NW,POINT (-114.0931995 51.049639)
Camera 55 (http://trafficcam.calgary.ca/loc54.jpg),SW,Bow Trail / 14 Street SW,POINT (-114.094804 51.0470663)
Camera 124 (http://trafficcam.calgary.ca/loc123.jpg),SW,33 Avenue / Crowchild Trail SW,POINT (-114.1173688 51.0240736)
Camera 99 (http://trafficcam.calgary.ca/loc98.jpg),SE,Glenmore Trail / Barlow Trail SE,POINT (-113.9814947 50.9794455)
Camera 117 (http://trafficcam.calgary.ca/loc116.jpg),SE,162 Avenue / Shawville Blvd SE,POINT (-114.0659867 50.9043314)
Camera 120 (http://trafficcam.calgary.ca/loc119.jpg),NW,16 Avenue / Sarcee Trail  NW,POINT (-114.1891603 51.0808525)
Camera 40 (http://trafficcam.calgary.ca/loc39.jpg),NW,16 Avenue / 14 Street NW,POINT (-114.0939902 51.0669765)
Camera 53 (http://trafficcam.calgary.ca/loc52.jpg),SE,Glenmore Trail / Deerfoot Trail SE,POINT (-114.035226 50.9942156)
Camera 97 (http://trafficcam.calgary.ca/loc96.jpg),NW/NE,McKnight Blvd / Centre St N,POINT (-114.0623634 51.0959746)
Camera 4 (http://trafficcam.calgary.ca/loc3.jpg),NE,Memorial Drive / 52 Street E,POINT (-113.9558182 51.053253)
Camera 6 (http://trafficcam.calgary.ca/loc5.jpg),SW,4 Avenue / 9 Street SW,POINT (-114.0835215 51.0499601)
Camera 88 (http://trafficcam.calgary.ca/loc87.jpg),SE,Heritage Drive / Blackfoot Trail SE,POINT (-114.0504938 50.9809179)
Camera 98 (http://trafficcam.calgary.ca/loc97.jpg),NW,John Laurie Blvd / 14 Street NW,POINT (-114.0947697 51.0897177)
Camera 133 (http://trafficcam.calgary.ca/loc132.jpg),NE,Stoney Trail / Metis Trail NE,POINT (-113.969186 51.1751401)
Camera 138 (http://trafficcam.calgary.ca/loc137.jpg),SE,Stoney Trail / Peigan Trail SE,POINT (-113.9216323 51.0156205)
Camera 42 (http://trafficcam.calgary.ca/loc41.jpg),SE,Memorial Drive / 36 Street SE,POINT (-113.9815651 51.0521087)
Camera 122 (http://trafficcam.calgary.ca/loc121.jpg),SE,Riverfront Avenue / 1 Street SE,POINT (-114.0600141 51.0511313)
Camera 45 (http://trafficcam.calgary.ca/loc44.jpg),SW/SE,194 Avenue / Macleod Trail S,POINT (-114.0440631 50.8756442)
Camera 103 (http://trafficcam.calgary.ca/loc102.jpg),NE,Memorial Drive / 12 Street NE,POINT (-114.0323668 51.0482461)
Camera 111 (http://trafficcam.calgary.ca/loc110.jpg),SE,Glenmore Trail / 18 Street SE,POINT (-114.0157036 50.9790353)
Camera 54 (http://trafficcam.calgary.ca/loc53.jpg),SW,Bow Trail / Pumphouse Road SW,POINT (-114.1036354 51.0470427)
Camera 13 (http://trafficcam.calgary.ca/loc12.jpg),NE,McKnight Blvd / 52 Street NE,POINT (-113.9582103 51.0958837)
Camera 24 (http://trafficcam.calgary.ca/loc23.jpg),SW,Southland Drive / 14 Street SW,POINT (-114.0953543 50.9615719)
Camera 72 (http://trafficcam.calgary.ca/loc71.jpg),SE,Southland Drive / Blackfoot Trail SE,POINT (-114.0387603 50.9658416)
Camera 57 (http://trafficcam.calgary.ca/loc56.jpg),SW,Bow Trail / 6 Avenue SW,POINT (-114.0913813 51.047493)
Camera 61 (http://trafficcam.calgary.ca/loc60.jpg),SE,Glenmore Trail / Blackfoot Trail SE,POINT (-114.0525544 50.9939134)
Camera 7 (http://trafficcam.calgary.ca/loc6.jpg),SW,Glenmore Trail / Elbow Drive SW (East),POINT (-114.0842358 50.9939161)
Camera 8 (http://trafficcam.calgary.ca/loc7.jpg),SE,Stoney Trail / 52 Street SE,POINT (-113.9537466 50.9040183)
Camera 14 (http://trafficcam.calgary.ca/loc13.jpg),SW,8 Avenue / 11 Street SW,POINT (-114.0886408 51.046258)
Camera 32 (http://trafficcam.calgary.ca/loc31.jpg),SW/SE,42 Avenue / Macleod Trail S,POINT (-114.0643126 51.0159099)
Camera 75 (http://trafficcam.calgary.ca/loc74.jpg),NW,16 Avenue / 10 Street NW,POINT (-114.0849216 51.0668068)
Camera 80 (http://trafficcam.calgary.ca/loc79.jpg),SE,47 Avenue / Deerfoot Trail SE,POINT (-114.0084668 51.0109282)
Camera 100 (http://trafficcam.calgary.ca/loc99.jpg),SW/SE,Anderson Road / Macleod Trail S,POINT (-114.0707168 50.9505793)
Camera 125 (http://trafficcam.calgary.ca/loc124.jpg),SW,Bow Trail / Crowchild Trail SW,POINT (-114.1127754 51.043601)
Camera 109 (http://trafficcam.calgary.ca/loc108.jpg),SE,114 Avenue / Barlow Trail SE,POINT (-113.981644 50.9505254)
Camera 62 (http://trafficcam.calgary.ca/loc61.jpg),SW,Bow Trail / 33 Street SW,POINT (-114.1355522 51.0413844)
Camera 34 (http://trafficcam.calgary.ca/loc33.jpg),SE,4 Avenue / Macleod Trail S,POINT (-114.057837 51.0491958)
Camera 59 (http://trafficcam.calgary.ca/loc58.jpg),NW,Memorial Drive / 10A Street NW,POINT (-114.0905363 51.050951)
Camera 130 (http://trafficcam.calgary.ca/loc129.jpg),SW,9 Avenue / 5 Street SW,POINT (-114.0738336 51.0448849)
Camera 102 (http://trafficcam.calgary.ca/loc101.jpg),SE,Macleod Trail S / 162 Avenue SE (West intersection),POINT (-114.0637026 50.9045746)
Camera 1 (http://trafficcam.calgary.ca/loc0.jpg),SW/SE,Glenmore Trail / Macleod Trail S,POINT (-114.0715855 50.993989)
Camera 77 (http://trafficcam.calgary.ca/loc76.jpg),SW,12 Avenue / 5 Street SW,POINT (-114.0741758 51.0417567)
Camera 107 (http://trafficcam.calgary.ca/loc106.jpg),NE,32 Avenue / 36 Street NE,POINT (-113.9823261 51.0815499)
Camera 84 (http://trafficcam.calgary.ca/loc83.jpg),NE,16 Avenue / Stoney Trail NE,POINT (-113.9204069 51.0676856)
Camera 118 (http://trafficcam.calgary.ca/loc117.jpg),SE,Blackfoot Trail / 19 Street SE,POINT (-114.0179088 51.037649)
Camera 50 (http://trafficcam.calgary.ca/loc49.jpg),NE,32 Avenue / Deerfoot Trail NE,POINT (-114.035269 51.0816137)
Camera 3 (http://trafficcam.calgary.ca/loc2.jpg),SE,50 Avenue / Barlow Trail SE,POINT (-114.0018449 51.0086234)
Camera 70 (http://trafficcam.calgary.ca/loc69.jpg),SE,Southland Drive / Deerfoot Trail SE,POINT (-114.0315769 50.9679604)
Camera 49 (http://trafficcam.calgary.ca/loc48.jpg),SW/SE,Southland Drive / Macleod Trail S,POINT (-114.0713525 50.9651413)
Camera 96 (http://trafficcam.calgary.ca/loc95.jpg),SE,5 Avenue / 3 Street SE,POINT (-114.0554787 51.048176)
Camera 48 (http://trafficcam.calgary.ca/loc47.jpg),NW,John Laurie Blvd / Shaganappi Trail NW,POINT (-114.1398453 51.1088433)
Camera 26 (http://trafficcam.calgary.ca/loc25.jpg),SE,Stoney Trail / 88 Street SE,POINT (-113.9072768 50.906454)
Camera 139 (http://trafficcam.calgary.ca/loc138.jpg),SW,17 Avenue / Sarcee Trail SW,POINT (-114.1659844 51.0393138)
Camera 119 (http://trafficcam.calgary.ca/loc118.jpg),SW/SE,Canyon Meadows Dr / Macleod Trail SE,POINT (-114.0694188 50.9318705)
Camera 23 (http://trafficcam.calgary.ca/loc22.jpg),NW,Crowchild Trail / Nosehill Drive NW,POINT (-114.2024515 51.1200649)
Camera 134 (http://trafficcam.calgary.ca/loc133.jpg),NW,Stoney Trail / Nose Hill Drive NW,POINT (-114.2239989 51.1067302)
Camera 69 (http://trafficcam.calgary.ca/loc68.jpg),NE,16 Avenue / 52 Street NE,POINT (-113.9584279 51.0667121)
Camera 25 (http://trafficcam.calgary.ca/loc24.jpg),SW,Heritage Drive / 14 Street SW,POINT (-114.094847 50.9795297)
Camera 63 (http://trafficcam.calgary.ca/loc62.jpg),SE,130 Avenue / 52 Street SE,POINT (-113.9582911 50.9314226)
Camera 65 (http://trafficcam.calgary.ca/loc64.jpg),SE,Glenmore Trail / 52 Street SE,POINT (-113.9587798 50.9798024)
Camera 127 (http://trafficcam.calgary.ca/loc126.jpg),NW,Crowchild Trail / Sarcee Trail NW,POINT (-114.1782042 51.1112551)
Camera 101 (http://trafficcam.calgary.ca/loc100.jpg),NW,Stoney Trail / Beddington Trail NW,POINT (-114.1149257 51.1565751)
Camera 22 (http://trafficcam.calgary.ca/loc21.jpg),SE,50 Avenue / 52 Street SE,POINT (-113.958422 51.0088802)
Camera 15 (http://trafficcam.calgary.ca/loc14.jpg),SE,17 Avenue / 28 Street SE,POINT (-113.9930839 51.0377477)
Camera 106 (http://trafficcam.calgary.ca/loc105.jpg),SE,Macleod Trail S / 162 Avenue SE (East intersection),POINT (-114.0606044 50.9052795)
